"Occurences","Word","Length","Freq_KF","Freq_HAL","Log_Freq_HAL","SUBTLWF","SUBTLCD","Ortho_N","Phono_N","Phono_N_H","OG_N","OG_N_H","Freq_N","Freq_N_P","Freq_N_PH","BG_Sum","BG_Mean","BG_Freq_By_Pos","NSyll","NMorph","POS","I_Mean_RT","I_Zscore","I_SD","Obs","I_Mean_Accuracy","I_NMG_Mean_RT","I_NMG_Zscore","I_NMG_SD","I_NMG_Obs","I_NMG_Mean_Accuracy"
"1","sideburns","9","NULL","130","4.87","1.16","0.45","0","0","0","0","0","NULL","NULL","NULL","9585","1198.13","1242","2","3","NN","733.79","-0.14","232.85","33","0.97","698.71","-0.22","123.39","28","1.00"
"1","sideline","8","1","355","5.87","0.61","0.33","0","1","1","0","0","NULL","4.08","4.08","18797","2685.29","2867","2","2","NN","686.42","-0.24","273.99","33","0.97","703.67","-0.19","120.50","27","1.00"
"1","snapdragon","10","NULL","61","4.11","0.02","0.01","0","0","0","0","0","NULL","NULL","NULL","11736","1304.00","1373","3","2","NN","822.58","0.20","298.25","24","0.71","861.37","0.62","204.03","27","1.00"
"1","spitfire","8","NULL","673","6.51","0.59","0.18","0","0","0","0","0","NULL","NULL","NULL","10050","1435.71","1149","2","2","NN","826.68","0.10","271.90","34","0.97","693.64","0.04","121.09","28","1.00"
"1","stalemate","9","2","471","6.15","0.47","0.20","0","0","0","0","0","NULL","NULL","NULL","23189","2898.63","3289","2","2","NN","905.28","0.15","428.30","25","0.78","815.37","0.37","308.17","27","1.00"
"1","starboard","9","1","437","6.08","6.55","1.65","0","0","0","0","0","NULL","NULL","NULL","13446","1680.75","1950","2","2","VB|NN","727.17","-0.14","294.22","29","0.88","697.93","-0.13","198.14","28","1.00"
"1","stoolpigeon","11","NULL","1","0.00","NULL","NULL","0","0","0","0","0","NULL","NULL","NULL","14936","1493.60","1798","3","NULL","NULL","1058.67","1.02","270.44","21","0.70","899.16","0.79","217.59","25","1.00"
"1","sweepstake","10","NULL","10","2.30","0.24","0.05","0","0","0","0","0","NULL","NULL","NULL","9201","1022.33","1269","2","2","NN","769.81","0.01","260.81","31","0.97","712.15","0.07","131.87","27","1.00"
"1","tailgate","8","2","153","5.03","0.45","0.24","0","1","1","0","0","NULL","0.00","0.00","13470","1924.29","2024","2","2","NN|VB","728.66","-0.29","220.09","32","0.91","643.54","-0.34","113.13","28","1.00"
"1","turncoat","8","NULL","53","3.97","0.25","0.15","0","0","0","0","0","NULL","NULL","NULL","11038","1576.86","1755","2","2","NN","741.97","-0.08","198.21","29","0.85","758.22","0.31","185.51","27","1.00"
"1","wallflower","10","NULL","86","4.45","0.41","0.21","0","0","0","0","0","NULL","NULL","NULL","14720","1635.56","1883","2","2","NN","723.24","-0.23","280.91","34","0.97","648.81","-0.40","123.49","27","1.00"
"1","warhead","7","2","593","6.39","3.24","0.52","0","1","1","0","0","NULL","7.78","7.78","8322","1387.00","1727","2","2","NN","776.36","-0.07","335.94","33","0.97","649.00","-0.48","143.08","27","0.96"
"1","watercress","10","NULL","67","4.20","0.08","0.05","0","0","0","0","0","NULL","NULL","NULL","27232","3025.78","3735","3","2","NN","930.82","0.51","344.58","22","0.67","844.93","0.37","262.49","28","1.00"
"1","watertable","10","NULL","1","0.00","NULL","NULL","0","0","0","0","0","NULL","NULL","NULL","23884","2653.78","3739","4","2","NN","1132.46","1.02","386.08","28","0.88","779.21","0.29","195.40","24","0.86"

