"Occurences","Word","Length","Freq_KF","Freq_HAL","Log_Freq_HAL","SUBTLWF","SUBTLCD","Ortho_N","Phono_N","Phono_N_H","OG_N","OG_N_H","Freq_N","Freq_N_P","Freq_N_PH","BG_Sum","BG_Mean","BG_Freq_By_Pos","NSyll","NMorph","POS","I_Mean_RT","I_Zscore","I_SD","Obs","I_Mean_Accuracy","I_NMG_Mean_RT","I_NMG_Zscore","I_NMG_SD","I_NMG_Obs","I_NMG_Mean_Accuracy"
"1","pillbox","7","NULL","105","4.65","0.49","0.15","0","0","0","0","0","NULL","NULL","NULL","4795","799.17","1307","2","2","NN","660.88","-0.45","207.69","32","0.94","641.74","-0.43","112.44","27","1.00"
"1","racehorse","9","NULL","59","4.08","1.16","0.43","0","1","1","0","0","NULL","4.09","4.09","13787","1723.38","1528","2","2","NN","705.18","-0.18","152.61","34","0.97","670.96","-0.28","130.14","27","1.00"
"1","raincoat","8","NULL","191","5.25","1.65","0.81","0","0","0","0","0","NULL","NULL","NULL","19396","2770.86","2075","2","2","NN","740.32","-0.27","308.05","34","0.97","637.18","-0.40","94.67","28","1.00"
"1","rainstorm","9","2","116","4.75","0.80","0.32","0","0","0","0","0","NULL","NULL","NULL","21048","2631.00","2215","2","2","NN","747.61","-0.30","362.48","33","1.00","617.04","-0.52","114.26","26","1.00"
"1","sailboat","8","1","523","6.26","1.61","0.57","1","1","1","1","1","0.00","0.00","0.00","8517","1216.71","1833","2","2","NN","616.03","-0.55","135.14","35","1.00","659.25","-0.34","104.30","28","1.00"
"1","seawater","8","NULL","261","5.56","0.45","0.20","0","0","0","0","0","NULL","NULL","NULL","19474","2782.00","2654","3","2","NN","756.56","-0.19","255.09","34","1.00","724.16","-0.03","184.66","25","0.96"
"1","shipwreck","9","2","211","5.35","0.53","0.25","0","0","0","0","0","NULL","NULL","NULL","9824","1228.00","1440","2","2","NN","667.39","-0.44","152.52","33","0.97","696.27","-0.11","137.62","26","1.00"
"1","snowball","8","2","484","6.18","1.39","0.64","1","1","1","1","1","5.87","5.87","5.87","7142","1020.29","1005","2","2","NN|VB","643.35","-0.52","147.69","34","1.00","701.14","-0.12","184.19","28","1.00"
"1","snowflake","9","NULL","250","5.52","1.18","0.44","0","0","0","0","0","NULL","NULL","NULL","5391","673.88","781","2","2","NN","639.94","-0.45","324.94","32","0.97","745.93","-0.01","163.03","27","0.96"
"1","songbook","8","1","437","6.08","0.06","0.04","0","0","0","0","0","NULL","NULL","NULL","11245","1606.43","1963","2","2","NN","728.71","-0.29","281.88","34","1.00","633.52","-0.37","88.01","25","1.00"
